Destination,Country,Annual_Tourists_Scaled,Spring,Summer,Autumn,Winter,Cost_of_Living_Encoded,Historic,Medieval,Beach,Architecture,Capital
Rome,Italy,1.7496803248006443,1,0,1,0,2.0,1,0,0,0,1
Florence,Italy,1.5395812436735363,1,0,1,0,2.0,1,0,0,1,0
Venice,Italy,1.5395812436735363,1,0,1,0,2.0,0,0,0,0,0
Milan,Italy,1.3168672507031067,1,0,1,0,3.0,1,0,0,0,1
Naples,Italy,1.1067681874164903,1,0,1,0,1.0,1,0,1,0,0
Cinque Terre,Italy,0.7877998934873457,1,0,1,0,2.0,0,0,0,0,0
Amalfi Coast,Italy,0.5346205532979038,1,0,1,0,2.0,0,0,1,0,0
Pisa,Italy,0.35498698292758357,1,0,1,0,1.0,1,0,0,0,0
Lake Como,Italy,0.10180774680756834,1,0,1,0,2.0,0,0,0,0,0
Verona,Italy,0.10180774680756834,1,0,1,0,1.0,0,0,0,1,0
Barcelona,Spain,1.6888275276001952,1,0,1,0,2.0,0,0,1,1,0
Madrid,Spain,1.3168672507031067,1,0,1,0,2.0,1,0,0,0,1
Seville,Spain,0.8840542212067946,1,0,1,0,1.0,1,0,0,1,0
Valencia,Spain,0.6739551936011504,1,0,1,0,1.0,0,0,1,0,0
Granada,Spain,0.5346205532979038,1,0,1,0,1.0,1,0,0,0,0
M laga,Spain,0.5346205532979038,1,0,1,0,1.0,1,0,1,0,0
Bilbao,Spain,0.35498698292758357,1,0,1,0,2.0,0,0,0,0,0
Ibiza,Spain,1.4002465565390152,0,1,1,0,2.0,0,0,1,0,0
Majorca,Spain,1.6534259747805844,1,0,1,0,2.0,1,0,1,0,0
San Sebasti n,Spain,0.10180774680756834,1,0,1,0,2.0,0,0,1,0,0
Paris,France,2.3649084635856132,1,0,1,0,3.0,0,0,0,0,0
Nice,France,0.9674335158923975,1,0,1,0,2.0,0,0,1,0,0
Marseille,France,0.8840542212067946,1,0,1,0,1.0,1,0,0,0,0
Lyon,France,0.5346205532979038,1,0,1,0,2.0,1,0,0,1,1
Bordeaux,France,0.35498698292758357,1,0,1,0,2.0,1,0,0,0,0
Strasbourg,France,0.10180774680756834,1,0,1,0,2.0,0,1,0,0,0
Cannes,France,-0.03752679983322476,1,0,1,0,3.0,0,0,1,0,0
Mont Saint-Michel,France,0.8840542212067946,1,0,1,0,2.0,0,0,1,0,0
Loire Valley,France,,1,0,1,0,1.0,0,0,0,0,0
French Alps,France,,0,1,1,1,2.0,0,0,0,0,0
Vienna,Austria,1.3599475900476303,1,0,1,0,2.0,0,0,0,0,0
Salzburg,Austria,0.7877998934873457,1,0,1,0,2.0,0,0,0,1,0
Innsbruck,Austria,0.5346205532979038,0,1,1,1,2.0,1,0,0,0,0
Hallstatt,Austria,0.10180774680756834,1,0,1,0,2.0,1,0,0,1,0
Graz,Austria,0.10180774680756834,1,0,1,0,1.0,0,0,0,0,0
Zell am See,Austria,-0.03752679983322476,0,1,1,1,2.0,0,0,0,0,0
Wachau Valley,Austria,-0.3310047474747989,1,0,1,0,2.0,1,0,0,0,0
Bregenz,Austria,-0.4703391380117843,0,1,1,0,2.0,0,0,0,0,0
Vienna Woods,Austria,0.5346205532979038,1,0,1,0,2.0,0,0,0,0,0
Bad Gastein,Austria,-0.9031506956730587,0,1,1,1,2.0,0,0,0,0,0
