Destination,Country,Annual_Tourists_Scaled,Spring,Summer,Autumn,Winter,Cost_of_Living_Encoded,Historic,Medieval,Beach,Architecture,Capital,Cluster
Rome,Italy,1.7496803248006445,1,0,1,0,2.0,1,0,0,0,1,3
Florence,Italy,1.5395812436735363,1,0,1,0,2.0,1,0,0,1,0,1
Venice,Italy,1.5395812436735363,1,0,1,0,2.0,0,0,0,0,0,1
Milan,Italy,1.3168672507031067,1,0,1,0,3.0,1,0,0,0,1,3
Naples,Italy,1.1067681874164903,1,0,1,0,1.0,1,0,1,0,0,1
Cinque Terre,Italy,0.7877998934873457,1,0,1,0,2.0,0,0,0,0,0,1
Amalfi Coast,Italy,0.5346205532979038,1,0,1,0,2.0,0,0,1,0,0,1
Pisa,Italy,0.3549869829275835,1,0,1,0,1.0,1,0,0,0,0,1
Lake Como,Italy,0.1018077468075683,1,0,1,0,2.0,0,0,0,0,0,1
Verona,Italy,0.1018077468075683,1,0,1,0,1.0,0,0,0,1,0,1
Barcelona,Spain,1.6888275276001952,1,0,1,0,2.0,0,0,1,1,0,1
Madrid,Spain,1.3168672507031067,1,0,1,0,2.0,1,0,0,0,1,3
Seville,Spain,0.8840542212067946,1,0,1,0,1.0,1,0,0,1,0,1
Valencia,Spain,0.6739551936011504,1,0,1,0,1.0,0,0,1,0,0,1
Granada,Spain,0.5346205532979038,1,0,1,0,1.0,1,0,0,0,0,1
M laga,Spain,0.5346205532979038,1,0,1,0,1.0,1,0,1,0,0,1
Bilbao,Spain,0.3549869829275835,1,0,1,0,2.0,0,0,0,0,0,1
Ibiza,Spain,1.4002465565390152,0,1,1,0,2.0,0,0,1,0,0,2
Majorca,Spain,1.6534259747805844,1,0,1,0,2.0,1,0,1,0,0,1
San Sebasti n,Spain,0.1018077468075683,1,0,1,0,2.0,0,0,1,0,0,1
Paris,France,2.364908463585613,1,0,1,0,3.0,0,0,0,0,0,1
Nice,France,0.9674335158923976,1,0,1,0,2.0,0,0,1,0,0,1
Marseille,France,0.8840542212067946,1,0,1,0,1.0,1,0,0,0,0,1
Lyon,France,0.5346205532979038,1,0,1,0,2.0,1,0,0,1,1,3
Bordeaux,France,0.3549869829275835,1,0,1,0,2.0,1,0,0,0,0,1
Strasbourg,France,0.1018077468075683,1,0,1,0,2.0,0,1,0,0,0,0
Cannes,France,-0.0375267998332247,1,0,1,0,3.0,0,0,1,0,0,1
Mont Saint-Michel,France,0.8840542212067946,1,0,1,0,2.0,0,0,1,0,0,1
Loire Valley,France,,1,0,1,0,1.0,0,0,0,0,0,1
French Alps,France,,0,1,1,1,2.0,0,0,0,0,0,2
Vienna,Austria,1.3599475900476303,1,0,1,0,2.0,0,0,0,0,0,1
Salzburg,Austria,0.7877998934873457,1,0,1,0,2.0,0,0,0,1,0,1
Innsbruck,Austria,0.5346205532979038,0,1,1,1,2.0,1,0,0,0,0,2
Hallstatt,Austria,0.1018077468075683,1,0,1,0,2.0,1,0,0,1,0,1
Graz,Austria,0.1018077468075683,1,0,1,0,1.0,0,0,0,0,0,1
Zell am See,Austria,-0.0375267998332247,0,1,1,1,2.0,0,0,0,0,0,2
Wachau Valley,Austria,-0.3310047474747989,1,0,1,0,2.0,1,0,0,0,0,1
Bregenz,Austria,-0.4703391380117843,0,1,1,0,2.0,0,0,0,0,0,2
Vienna Woods,Austria,0.5346205532979038,1,0,1,0,2.0,0,0,0,0,0,1
